database;schema;table;column;data_type
core;_lookup_tables;CODES_B;ICD10;text
core;_lookup_tables;CODES_B;DIAG_CODE;text
core;_lookup_tables;CODES_D;ICD10;text
core;_lookup_tables;CODES_D;DIAG_CODE;text
core;_lookup_tables;CODES_E;ICD10;text
core;_lookup_tables;CODES_E;DIAG_CODE;text
core;_lookup_tables;CODES_K;ICD10;text
core;_lookup_tables;CODES_K;DIAG_CODE;text
core;_lookup_tables;CODES_M;ICD10;text
core;_lookup_tables;CODES_M;DIAG_CODE;text
core;_lookup_tables;CODES_NPU2PERSIMUNE;AnalysisCode;text
core;_lookup_tables;CODES_NPU2PERSIMUNE;C_AnalysisGroup;text
core;_lookup_tables;CODES_NPU2PERSIMUNE;C_New_AnalysisGroup;text
core;_lookup_tables;CODES_NPU_core;Alf. R<e6>kkef<f8>lge;integer
core;_lookup_tables;CODES_NPU_core;Bem<e6>rk dato;integer
core;_lookup_tables;CODES_NPU_core;Bem<e6>rk Indh.;text
core;_lookup_tables;CODES_NPU_core;Opret dato;integer
core;_lookup_tables;CODES_NPU_core;IUPAC koder;text
core;_lookup_tables;CODES_NPU_core;Kort definition;text
core;_lookup_tables;CODES_NPU_core;System;text
core;_lookup_tables;CODES_NPU_core;Sys-spec.;text
core;_lookup_tables;CODES_NPU_core;Pr<e6>fiks;text
core;_lookup_tables;CODES_NPU_core;Komp.;text
core;_lookup_tables;CODES_NPU_core;Komp-spec.;text
core;_lookup_tables;CODES_NPU_core;Egenskabsart;text
core;_lookup_tables;CODES_NPU_core;proc.;text
core;_lookup_tables;CODES_NPU_core;Enhed;text
core;_lookup_tables;CODES_NPU_core;Speciale;text
core;_lookup_tables;CODES_NPU_core;Sub-speciale;integer
core;_lookup_tables;CODES_NPU_core;Art;integer
core;_lookup_tables;CODES_NPU_core;IUPAC kodev<e6>rdi;integer
core;_lookup_tables;CODES_NPU_core;Kontekstafh<e6>ngig;text
core;_lookup_tables;CODES_NPU_core;Skalatype;text
core;_lookup_tables;CODES_NPU_core;Regel;text
core;_lookup_tables;CODES_NPU_core;Aktiv;integer
core;_lookup_tables;CODES_NPU_core;NPU;text
core;_lookup_tables;CODES_NPU_core;NAME_ID;text
core;_lookup_tables;CODES_SNOMED;Art;text
core;_lookup_tables;CODES_SNOMED;SKSkode;text
core;_lookup_tables;CODES_SNOMED;DatoFra;text
core;_lookup_tables;CODES_SNOMED;DatoÃ†ndring;text
core;_lookup_tables;CODES_SNOMED;DatoTil;text
core;_lookup_tables;CODES_SNOMED;Kodetekst;text
core;_lookup_tables;CODES_SNOMED;AGrp;integer
core;_lookup_tables;CODES_SNOMED;BGrp;integer
core;_lookup_tables;CODES_SNOMED;CGrp;integer
core;_lookup_tables;CODES_SNOMED;DGrp;integer
core;_lookup_tables;CODES_SNOMED;EGrp;text
core;_lookup_tables;CODES_SNOMED;AVal;text
core;_lookup_tables;CODES_SNOMED;BVal;text
core;_lookup_tables;CODES_SNOMED;CVal;text
core;_lookup_tables;CODES_SNOMED;DVal;text
core;_lookup_tables;CODES_SNOMED;Inklusion;integer
core;_lookup_tables;CODES_SNOMED;EkstraReg;integer
core;_lookup_tables;CODES_SNOMED;Tags;text
core;_lookup_tables;CODES_SNOMED;Farvekode;integer
core;_lookup_tables;CODES_U;text;text
core;_lookup_tables;CODES_U;sks;text
core;_lookup_tables;CODES_subtypes_core;RKKP_types;text
core;_lookup_tables;CODES_subtypes_core;match_diag_code;text
core;_lookup_tables;CODES_subtypes_core;Description;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v4_0_meddra_code;integer
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v4_0_meddra_soc;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v4_0_ctcae_term;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;grade_definition;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v4_03_ctcae_grade_description_definition;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;change_type;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v5_0_meddra_code;integer
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v5_0_meddra_soc;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v5_0_ctcae_term;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;grade_definition_1;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;v5_0_ctcae_grade_description_definition;text
core;_lookup_tables;CTCAEv4.0tov5.0Mapping_core;other_specify;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;meddra_code;integer
core;_lookup_tables;CTCAEv5.0CleanCopy_core;meddra_soc;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;ctcae_term;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;grade_1_;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;grade_2_;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;grade_3_;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;grade_4_;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;grade_5_;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;definition;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;navigational_note;text
core;_lookup_tables;CTCAEv5.0CleanCopy_core;ctcae_v5_0_change;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;meddra_code;integer
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;meddra_soc;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;ctcae_term;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;grade_1_;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;grade_2_;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;grade_3_;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;grade_4_;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;grade_5_;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;definition;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;navigational_note;text
core;_lookup_tables;CTCAEv5.0TrackedChanges_core;ctcae_v5_0_change;text
core;_lookup_tables;Codes_ATC_core;id;integer
core;_lookup_tables;Codes_ATC_core;class_code;text
core;_lookup_tables;Codes_ATC_core;class_name;text
core;_lookup_tables;Codes_ATC_core;ddd;double precision
core;_lookup_tables;Codes_ATC_core;u;text
core;_lookup_tables;Codes_ATC_core;adm_r;text
core;_lookup_tables;Codes_ATC_core;note;text
core;_lookup_tables;Codes_ATC_core;valid_start_date;date
core;_lookup_tables;Codes_ATC_core;valid_end_date;date
core;_lookup_tables;Codes_ATC_core;change_type;text
core;_lookup_tables;Codes_hospital;id;integer
core;_lookup_tables;Codes_hospital;area;text
core;_lookup_tables;Codes_hospital;region;text
core;_lookup_tables;Codes_hospital;code;text
core;_lookup_tables;Codes_hospital;name;text
core;_lookup_tables;Codes_hospital;decommisioned;text
core;_lookup_tables;Codes_kommunekoder;KODE;integer
core;_lookup_tables;Codes_kommunekoder;KOMMUNE;text
core;_lookup_tables;ICD10_to_ICDO3_core;icd10_code_in;text
core;_lookup_tables;ICD10_to_ICDO3_core;icd10_label_in;text
core;_lookup_tables;ICD10_to_ICDO3_core;morphology_code_out;integer
core;_lookup_tables;ICD10_to_ICDO3_core;dignity_out;integer
core;_lookup_tables;ICD10_to_ICDO3_core;morphology_label_out;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;morphology_code_in;integer
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;dignity_in;integer
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;morphology_label_in;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;topography_code_in;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;icd10_code_out;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_1_core;icd10_label_out;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;morphology_code_in;integer
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;dignity_in;integer
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;morphology_label_in;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;topography_code_in;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;icd10_code_out;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;icd10_label_out;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;bold;integer
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v8;text
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v9;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v10;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v11;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v12;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v13;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v14;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v15;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v16;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v17;boolean
core;_lookup_tables;ICDO3_to_ICD10_1_to_m_core;v18;boolean
core;_lookup_tables;IGHVIMGT060323;cll_nr;integer
core;_lookup_tables;IGHVIMGT060323;sampleid;text
core;_lookup_tables;IGHVIMGT060323;date_samplecollection;date
core;_lookup_tables;IGHVIMGT060323;ighvstatus;text
core;_lookup_tables;IGHVIMGT060323;subset;text
core;_lookup_tables;IGHVIMGT060323;germline_max;text
core;_lookup_tables;IGHVIMGT060323;germlineidentity_1;text
core;_lookup_tables;IGHVIMGT060323;germlineidentity_2;text
core;_lookup_tables;IGHVIMGT060323;germlineidentity_3;text
core;_lookup_tables;IGHVIMGT060323;ighvallele_1;text
core;_lookup_tables;IGHVIMGT060323;ighvallele_2;text
core;_lookup_tables;IGHVIMGT060323;ighvallele_3;text
core;_lookup_tables;shakcomplete;a;text
core;_lookup_tables;shakcomplete;b;text
core;_lookup_tables;shakcomplete;c;bigint
core;_lookup_tables;shakcomplete;d;text
core;_lookup_tables;shakcomplete;e;integer
core;curated;CLL_TREAT;Diag_date_CLLreg;date
core;curated;CLL_TREAT;Correct_diagdate;date
core;curated;CLL_TREAT;BIRTHDATE;date
core;curated;CLL_TREAT;opslagsdato;date
core;curated;CLL_TREAT;hospital;text
core;curated;CLL_TREAT;Date_death_CLL_reg;date
core;curated;CLL_TREAT;DATE_ENDFU_OR_DEATH_opslag_2021;date
core;curated;CLL_TREAT;Dead;integer
core;curated;CLL_TREAT;Excluded;integer
core;curated;CLL_TREAT;Note;text
core;curated;CLL_TREAT;IGHV;text
core;curated;CLL_TREAT;FISH_diag;text
core;curated;CLL_TREAT;Age_diagnosis;integer
core;curated;CLL_TREAT;Sex;text
core;curated;CLL_TREAT;Smoking;integer
core;curated;CLL_TREAT;Binet;text
core;curated;CLL_TREAT;CLLIPI;text
core;curated;CLL_TREAT;B2M;double precision
core;curated;CLL_TREAT;B2M_note;text
core;curated;CLL_TREAT;Total_number_of_treatments;integer
core;curated;CLL_TREAT;Date_treatment_CLL_reg;date
core;curated;CLL_TREAT;DATE1LINE;date
core;curated;CLL_TREAT;KEMO1;text
core;curated;CLL_TREAT;IMMTERAPI1;text
core;curated;CLL_TREAT;KEMOIMM1;text
core;curated;CLL_TREAT;Del17ptp53_1treatment;text
core;curated;CLL_TREAT;Protokol1;text
core;curated;CLL_TREAT;Indication1;text
core;curated;CLL_TREAT;Bivirkninger1;text
core;curated;CLL_TREAT;Date_last_treatment1;text
core;curated;CLL_TREAT;DATE2LINE;date
core;curated;CLL_TREAT;KEMO2;text
core;curated;CLL_TREAT;IMMTERAPI2;text
core;curated;CLL_TREAT;KEMOIMM2;text
core;curated;CLL_TREAT;Del17ptp53_2treatment;text
core;curated;CLL_TREAT;Protokol2;text
core;curated;CLL_TREAT;Indication2;text
core;curated;CLL_TREAT;Bivirkninger2;text
core;curated;CLL_TREAT;Date_last_treatment2;date
core;curated;CLL_TREAT;DATE3LINE;date
core;curated;CLL_TREAT;KEMO3;text
core;curated;CLL_TREAT;IMMTERAPI3;text
core;curated;CLL_TREAT;KEMOIMM3;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r3behandling;text
core;curated;CLL_TREAT;Protokol3;text
core;curated;CLL_TREAT;Indication3;text
core;curated;CLL_TREAT;Bivirkninger3;text
core;curated;CLL_TREAT;Date_last_treatment3;text
core;curated;CLL_TREAT;DATE4LINE;date
core;curated;CLL_TREAT;KEMO4;text
core;curated;CLL_TREAT;IMMTERAPI4;text
core;curated;CLL_TREAT;KEMOIMM4;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r4behandling;text
core;curated;CLL_TREAT;protokol4;text
core;curated;CLL_TREAT;Indication4;text
core;curated;CLL_TREAT;Bivirkninger4;text
core;curated;CLL_TREAT;Date_last_treatment4;text
core;curated;CLL_TREAT;DATE5LINE;date
core;curated;CLL_TREAT;KEMO5;text
core;curated;CLL_TREAT;IMMTERAPI5;text
core;curated;CLL_TREAT;KEMOIMM5;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r5behandling;text
core;curated;CLL_TREAT;protokol5;text
core;curated;CLL_TREAT;Indication5;text
core;curated;CLL_TREAT;Bivirkninger5;text
core;curated;CLL_TREAT;Date_llast_treatment5;text
core;curated;CLL_TREAT;DATE6LINE;date
core;curated;CLL_TREAT;KEMO6;text
core;curated;CLL_TREAT;IMMTERAPI6;text
core;curated;CLL_TREAT;KEMOIMM6;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r6behandling;text
core;curated;CLL_TREAT;protokol6;text
core;curated;CLL_TREAT;Indication6;text
core;curated;CLL_TREAT;Bivirkninger6;text
core;curated;CLL_TREAT;Date_last_treatment6;text
core;curated;CLL_TREAT;DATE7LINE;date
core;curated;CLL_TREAT;KEMO7;text
core;curated;CLL_TREAT;IMMUNTERAPI7;text
core;curated;CLL_TREAT;KEMOIMMUNTERAPI7;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r7behandling;text
core;curated;CLL_TREAT;protokol7;text
core;curated;CLL_TREAT;Indication7;text
core;curated;CLL_TREAT;Bivirkninger7;integer
core;curated;CLL_TREAT;Date_last_treatment7;date
core;curated;CLL_TREAT;DATE8LINE;integer
core;curated;CLL_TREAT;KEMO8;text
core;curated;CLL_TREAT;IMMUNTERAPI8;text
core;curated;CLL_TREAT;KEMOIMMUNTERAPI8;text
core;curated;CLL_TREAT;Del17ptp53fÃ¸r8behandling;text
core;curated;CLL_TREAT;protokol8;text
core;curated;CLL_TREAT;Indication8;text
core;curated;CLL_TREAT;Bivirkninger8;integer
core;curated;CLL_TREAT;Date_last_treatment8;boolean
core;curated;CLL_TREAT;DALYCA_ID;integer
core;curated;CLL_TREAT;patientid;bigint
core;curated;CLL_TREAT_AE;DATE_TREATMENT;date
core;curated;CLL_TREAT_AE;DATE_AE;date
core;curated;CLL_TREAT_AE;TYPE;text
core;curated;CLL_TREAT_AE;GRADE;integer
core;curated;CLL_TREAT_AE;Treatment;text
core;curated;CLL_TREAT_AE;Line of treatment;integer
core;curated;CLL_TREAT_AE;Hospital;text
core;curated;CLL_TREAT_AE;DALYCA_ID;integer
core;curated;CLL_TREAT_AE;patientid;integer
